parcelnum	hemis	X	Y	Z	lobe	region	network	yeo7	yeo17	lateral_groups	final_groups	opposite_groups	color
428	R	45.01	35.54	-4.55	Frontal	parsorbitalis	Frontal-Parietal	7Networks_7	17Networks_17	112	274	112	#66FF00
429	R	45.12	25.07	-10.64	Frontal	parsorbitalis	Ventral-Attention-Language	7Networks_7	17Networks_17	309	626	309	#FF0033
430	R	35.41	18.22	-12.66	Insula	lateralorbitofrontal	Default	7Networks_7	17Networks_17	69	159	69	#FF6600
431	R	28.98	14.51	-9	Putamen	insula	Default	7Networks_4	17Networks_8	70	160	70	#FF6600
432	R	34.34	-14.82	11.16	Insula	insula	Somatomotor	7Networks_2	17Networks_4	288	578	288	#FF00CC
433	R	37.3	-7.56	5.29	Insula	insula	Frontal-Parietal	7Networks_2	17Networks_4	113	275	113	#66FF00
434	R	34.5	2.64	8.3	Insula	insula	Cingulo-opercular	7Networks_4	17Networks_7	38	96	38	#FF0000
435	R	37.94	7.81	-5.86	Insula	insula	Cingulo-opercular	7Networks_4	17Networks_7	39	97	39	#FF0000
436	R	35.07	16.22	2.43	Insula	insula	Frontal-Parietal	7Networks_4	17Networks_8	114	276	114	#66FF00
437	R	34.56	20.45	-0.31	Insula	lateralorbitofrontal	Frontal-Parietal	7Networks_6	17Networks_8	115	277	115	#66FF00
438	R	41.48	24.24	-0.05	Frontal	parstriangularis	Cingulo-opercular	7Networks_4	17Networks_8	40	98	40	#FF0000
439	R	21.77	-44.32	70.25	Parietal	superiorparietal	Cingulo-opercular	7Networks_3	17Networks_6	41	99	41	#FF0000
440	R	11.87	-49.76	62.42	Parietal	superiorparietal	Second-Dorsal-Attention	7Networks_3	17Networks_6	224	453	224	#9900FF
441	R	13.16	-52.34	57.76	Parietal	superiorparietal	Second-Visual	7Networks_3	17Networks_5	232	487	232	#CC00FF
442	R	20.78	-59.07	61.88	Parietal	superiorparietal	Somatomotor	7Networks_3	17Networks_5	289	579	289	#FF00CC
443	R	18.46	-68.79	54.43	Parietal	superiorparietal	First-Dorsal-Attention	7Networks_3	17Networks_5	90	188	90	#FFFF00
444	R	15.11	-71.64	44.92	Parietal	superiorparietal	Second-Visual	7Networks_3	17Networks_5	233	488	233	#CC00FF
445	R	20.64	-86.51	33.21	Occipital	superiorparietal	Second-Visual	7Networks_1	17Networks_1	234	489	234	#CC00FF
446	R	3.3	-56.78	24.63	Parietal	precuneus	Parieto-Occipital	7Networks_7	17Networks_16	208	424	208	#0066FF
447	R	9.93	-65.42	26.72	Parietal	precuneus	Parieto-Occipital	7Networks_7	17Networks_16	209	425	209	#0066FF
448	R	13.65	-76.51	39.24	Parietal	precuneus	Second-Visual	7Networks_1	17Networks_2	235	490	235	#CC00FF
449	R	14.15	-88.52	26.03	Occipital	superiorparietal	Second-Visual	7Networks_1	17Networks_2	236	491	236	#CC00FF
450	R	10.52	-63	49.63	Parietal	superiorparietal	Parietal-Episodic-Retrieval	7Networks_3	17Networks_5	204	413	204	#0099FF
451	R	4.81	-62.34	56.91	Parietal	superiorparietal	Frontal-Parietal	7Networks_3	17Networks_5	116	278	116	#66FF00
452	R	2.98	-52.19	59.92	Parietal	superiorparietal	Cingulo-opercular	7Networks_3	17Networks_6	42	100	42	#FF0000
453	R	4.49	-52.97	46.24	Parietal	precuneus	Frontal-Parietal	7Networks_6	17Networks_11	117	279	117	#66FF00
454	R	10.68	-61.66	35.2	Parietal	precuneus	Parietal-Episodic-Retrieval	7Networks_7	17Networks_16	205	414	205	#0099FF
455	R	32.59	-78.16	38.84	Parietal	inferiorparietal	Frontal-Parietal-Other	7Networks_3	17Networks_5	161	327	161	#00FF66
456	R	28.13	-74.86	47.58	Parietal	inferiorparietal	Frontal-Parietal	7Networks_7	17Networks_16	118	280	118	#66FF00
457	R	39.6	-67.34	43.65	Parietal	inferiorparietal	Frontal-Parietal	7Networks_7	17Networks_16	119	281	119	#66FF00
458	R	42.16	-56.97	47.48	Parietal	inferiorparietal	Frontal-Parietal	7Networks_7	17Networks_13	120	282	120	#66FF00
459	R	49.14	-59.35	33.41	Parietal	inferiorparietal	Frontal-Parietal-Other	7Networks_7	17Networks_13	162	328	162	#00FF66
460	R	31.77	-62.59	52.74	Parietal	inferiorparietal	Frontal-Parietal	7Networks_7	17Networks_13	121	283	121	#66FF00
461	R	31.12	-51.36	46.78	Parietal	inferiorparietal	Frontal-Parietal	7Networks_6	17Networks_13	122	284	122	#66FF00
462	R	26.58	-45.26	44.51	Parietal	inferiorparietal	Frontal-Parietal	7Networks_3	17Networks_12	123	285	123	#66FF00
463	R	23.8	-66.46	51.87	Parietal	superiorparietal	Frontal-Parietal	7Networks_3	17Networks_5	124	286	124	#66FF00
464	R	22.14	-52.8	51.51	Parietal	superiorparietal	Second-Visual	7Networks_3	17Networks_5	237	492	237	#CC00FF
465	R	30.88	-44.77	54.57	Parietal	superiorparietal	Second-Dorsal-Attention	7Networks_3	17Networks_5	225	454	225	#9900FF
466	R	28.68	-51.11	58.72	Parietal	superiorparietal	Second-Dorsal-Attention	7Networks_3	17Networks_5	226	455	226	#9900FF
467	R	28.63	-44.81	64.76	Parietal	superiorparietal	Cingulo-opercular	7Networks_3	17Networks_6	43	101	43	#FF0000
468	R	34.62	-85.33	15.86	Occipital	lateraloccipital	Second-Visual	7Networks_1	17Networks_1	238	493	238	#CC00FF
469	R	36.73	-82.36	9.67	Occipital	lateraloccipital	Second-Visual	7Networks_1	17Networks_1	239	494	239	#CC00FF
470	R	40.87	-79.22	0.15	Occipital	inferiortemporal	Second-Visual	7Networks_3	17Networks_5	240	495	240	#CC00FF
471	R	49.98	-58.47	-5.86	Temporal	inferiortemporal	Frontal-Parietal	7Networks_6	17Networks_12	125	287	125	#66FF00
472	R	49.89	-69.99	-0.42	Occipital	middletemporal	Cingulo-opercular	7Networks_3	17Networks_5	44	102	44	#FF0000
473	R	43.6	-66.44	11.74	Occipital	inferiorparietal	Second-Visual	7Networks_3	17Networks_5	241	496	241	#CC00FF
474	R	59.53	-54.08	1.91	Temporal	middletemporal	Frontal-Parietal	7Networks_3	17Networks_6	126	288	126	#66FF00
475	R	40.92	-76.05	23.21	Parietal	inferiorparietal	Cingulo-opercular	7Networks_1	17Networks_5	45	103	45	#FF0000
476	R	40.44	-65.64	21.76	Parietal	inferiorparietal	Second-Visual	7Networks_3	17Networks_5	242	497	242	#CC00FF
477	R	41.31	-69.82	33.34	Parietal	inferiorparietal	Parieto-Occipital	7Networks_7	17Networks_15	210	426	210	#0066FF
478	R	47.46	-56.78	16.04	Parietal	inferiorparietal	Default	7Networks_7	17Networks_16	71	161	71	#FF6600
479	R	47.81	-65.25	33.98	Parietal	inferiorparietal	Default	7Networks_7	17Networks_16	72	162	72	#FF6600
480	R	38.08	-57.12	29.95	Parietal	inferiorparietal	Ventral-Attention-Language	7Networks_7	17Networks_16	310	627	310	#FF0033
481	R	50.01	-8.48	30.4	Parietal	precentral	Somatomotor	7Networks_2	17Networks_4	290	580	290	#FF00CC
482	R	58.31	-4.67	17.35	Frontal	precentral	Somatomotor	7Networks_2	17Networks_4	291	581	291	#FF00CC
483	R	47.81	-12.1	13.72	Parietal	postcentral	Cingulo-opercular	7Networks_2	17Networks_4	46	104	46	#FF0000
484	R	51.86	-29.67	22.25	Parietal	supramarginal	Cingulo-opercular	7Networks_4	17Networks_7	47	105	47	#FF0000
485	R	54.37	-35.82	37.28	Parietal	supramarginal	Cingulo-opercular	7Networks_4	17Networks_7	48	106	48	#FF0000
486	R	55.95	-29.27	37.66	Parietal	supramarginal	First-Dorsal-Attention	7Networks_4	17Networks_6	91	189	91	#FFFF00
487	R	55.92	-28	31.64	Parietal	supramarginal	First-Dorsal-Attention	7Networks_4	17Networks_6	92	190	92	#FFFF00
488	R	59.23	-21.39	29.83	Parietal	supramarginal	Second-Dorsal-Attention	7Networks_4	17Networks_6	227	456	227	#9900FF
489	R	60	-12.85	20.38	Parietal	postcentral	Somatomotor	7Networks_2	17Networks_4	292	582	292	#FF00CC
490	R	53.06	-12.62	29.48	Parietal	postcentral	Somatomotor	7Networks_2	17Networks_4	293	583	293	#FF00CC
491	R	47.39	-0.98	36.22	Frontal	precentral	Cingulo-opercular	7Networks_4	17Networks_7	49	107	49	#FF0000
492	R	33.44	7.55	36.19	Frontal	caudalmiddlefrontal	Cingulo-opercular	7Networks_6	17Networks_12	50	108	50	#FF0000
493	R	39.88	22.59	36.83	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_13	127	289	127	#66FF00
494	R	41.15	32.63	28.4	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_8	128	290	128	#66FF00
495	R	53.12	17.8	12.03	Frontal	parstriangularis	Ventral-Attention-Language	7Networks_7	17Networks_17	311	628	311	#FF0033
496	R	41.75	31.83	19.67	Frontal	parstriangularis	Frontal-Parietal	7Networks_6	17Networks_12	129	291	129	#66FF00
497	R	46.49	25.12	18.48	Frontal	parstriangularis	Frontal-Parietal	7Networks_6	17Networks_12	130	292	130	#66FF00
498	R	47.35	6.36	12.94	Frontal	parsopercularis	Frontal-Parietal	7Networks_6	17Networks_8	131	293	131	#66FF00
499	R	44.27	22.45	26.62	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_12	132	294	132	#66FF00
500	R	45.87	15.7	26.53	Frontal	parsopercularis	Cingulo-opercular	7Networks_6	17Networks_12	51	109	51	#FF0000
501	R	52.72	-1.6	8.91	Frontal	precentral	Cingulo-opercular	7Networks_4	17Networks_7	52	110	52	#FF0000
502	R	40.33	5.78	20.96	Frontal	parsopercularis	Frontal-Parietal	7Networks_3	17Networks_12	133	295	133	#66FF00
503	R	47.18	7.29	30.06	Frontal	precentral	Frontal-Parietal	7Networks_4	17Networks_12	134	296	134	#66FF00
504	R	38.45	7.83	33.76	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_12	135	297	135	#66FF00
505	R	46.56	0.38	26.81	Frontal	precentral	Second-Dorsal-Attention	7Networks_3	17Networks_12	228	457	228	#9900FF
506	R	34.19	51.4	7.41	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_13	136	298	136	#66FF00
507	R	37.93	49.46	1.69	Frontal	rostralmiddlefrontal	Frontal-Parietal-Other	7Networks_6	17Networks_13	163	329	163	#00FF66
508	R	25.71	49.03	-2.25	Frontal	rostralmiddlefrontal	Cingulo-opercular	7Networks_6	17Networks_13	53	111	53	#FF0000
509	R	6.7	52.98	-5.59	Frontal	medialorbitofrontal	Default	7Networks_7	17Networks_16	73	163	73	#FF6600
510	R	3.79	26.47	-3.92	Frontal	medialorbitofrontal	Salience	7Networks_5	17Networks_10	217	438	217	#3300FF
511	R	10.48	7.39	-14.02	Frontal	insula	none	7Networks_5	17Networks_10	174	377	174	#00FFFF
512	R	25.17	2.63	-19.7	Temporal	insula	Cingulo-opercular	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	54	112	54	#FF0000
513	R	42.94	44.71	-6.98	Frontal	parsorbitalis	Frontal-Parietal	7Networks_6	17Networks_13	137	299	137	#66FF00
514	R	32.56	27.55	-7.85	Frontal	lateralorbitofrontal	Default	7Networks_7	17Networks_16	74	164	74	#FF6600
515	R	34.59	45.55	-9.37	Frontal	parsorbitalis	Frontal-Parietal	7Networks_6	17Networks_13	138	300	138	#66FF00
516	R	26.78	39.99	-11.33	Frontal	lateralorbitofrontal	Frontal-Parietal	7Networks_6	17Networks_13	139	301	139	#66FF00
517	R	21.08	9.87	-15.73	Frontal	lateralorbitofrontal	Cingulo-opercular	7Networks_5	17Networks_10	55	113	55	#FF0000
518	R	23.41	28.04	-12.73	Frontal	lateralorbitofrontal	Frontal-Parietal	7Networks_5	17Networks_10	140	302	140	#66FF00
519	R	19.24	24.52	-16.29	Frontal	lateralorbitofrontal	none	7Networks_5	17Networks_10	175	378	175	#00FFFF
520	R	14.54	23.91	-18.82	Frontal	lateralorbitofrontal	none	7Networks_5	17Networks_10	176	379	176	#00FFFF
521	R	12.63	14.9	-15.46	Frontal	lateralorbitofrontal	none	7Networks_5	17Networks_10	177	380	177	#00FFFF
522	R	10.52	50.18	-16.97	Frontal	lateralorbitofrontal	Default	7Networks_5	17Networks_10	75	165	75	#FF6600
523	R	10.02	26.87	-15.63	Frontal	lateralorbitofrontal	none	7Networks_5	17Networks_10	178	381	178	#00FFFF
524	R	9.47	40.33	-15.33	Frontal	lateralorbitofrontal	Frontal-Parietal	7Networks_5	17Networks_10	141	303	141	#66FF00
525	R	3.19	36.01	-14.33	Frontal	medialorbitofrontal	Default	7Networks_5	17Networks_10	76	166	76	#FF6600
526	R	3.17	20.69	-13.66	Frontal	medialorbitofrontal	Default	7Networks_5	17Networks_10	77	167	77	#FF6600
527	R	59.19	-32.29	-12.65	Temporal	middletemporal	Frontal-Parietal	7Networks_6	17Networks_13	142	304	142	#66FF00
528	R	55.85	-19.73	-17.52	Temporal	middletemporal	Frontal-Parietal	7Networks_7	17Networks_16	143	305	143	#66FF00
529	R	46.98	-8.78	-26.33	Temporal	middletemporal	Default	7Networks_7	17Networks_17	78	168	78	#FF6600
530	R	45.74	2.79	-27.94	Temporal	middletemporal	Default	7Networks_7	17Networks_17	79	169	79	#FF6600
531	R	33.57	9.81	-30.17	Temporal	temporalpole	Frontal-Parietal	7Networks_5	17Networks_9	144	306	144	#66FF00
532	R	25.54	-44.94	-5.19	Occipital	parahippocampal	Somatomotor	7Networks_1	17Networks_15	294	584	294	#FF00CC
533	R	29.95	-37.6	-11.91	Temporal	fusiform	none	7Networks_1	17Networks_15	179	382	179	#00FFFF
534	R	24.2	-20.08	-27.35	Temporal	entorhinal	none	7Networks_5	17Networks_9	180	383	180	#00FFFF
535	R	20.06	-3.26	-30.62	Temporal	temporalpole	none	7Networks_5	17Networks_9	181	384	181	#00FFFF
536	R	22.11	9.7	-31.3	Temporal	temporalpole	none	7Networks_5	17Networks_9	182	385	182	#00FFFF
537	R	23.18	-66.61	-7.55	Occipital	fusiform	Second-Visual	7Networks_1	17Networks_1	243	498	243	#CC00FF
538	R	26.99	-54.6	-13.15	Occipital	fusiform	Second-Visual	7Networks_1	17Networks_1	244	499	244	#CC00FF
539	R	38.49	-57.86	-10.7	Temporal	inferiortemporal	Second-Visual	7Networks_3	17Networks_5	245	500	245	#CC00FF
540	R	48.94	-45.93	-17	Temporal	inferiortemporal	Cingulo-opercular	7Networks_3	17Networks_5	56	114	56	#FF0000
541	R	28.37	5.35	-35.14	Temporal	temporalpole	none	7Networks_5	17Networks_9	183	386	183	#00FFFF
542	R	36.91	-3.48	-38.4	Temporal	inferiortemporal	none	7Networks_5	17Networks_9	184	387	184	#00FFFF
543	R	59.12	-42.25	-16.47	Temporal	inferiortemporal	none	7Networks_6	17Networks_13	185	388	185	#00FFFF
544	R	30.22	-6.43	-38.82	Temporal	fusiform	none	7Networks_5	17Networks_9	186	389	186	#00FFFF
545	R	58.72	-26.29	-19.55	Temporal	inferiortemporal	Frontal-Parietal	7Networks_5	17Networks_17	145	307	145	#66FF00
546	R	49.85	-13.13	-33.1	Temporal	inferiortemporal	none	7Networks_5	17Networks_9	187	390	187	#00FFFF
547	R	25.98	-6.27	-32.55	Temporal	fusiform	none	7Networks_5	17Networks_9	188	391	188	#00FFFF
548	R	50.29	-23.02	-28.31	Temporal	inferiortemporal	none	7Networks_5	17Networks_9	189	392	189	#00FFFF
549	R	36.77	-13.42	-28.93	Temporal	inferiortemporal	Frontal-Parietal	7Networks_5	17Networks_9	146	308	146	#66FF00
550	R	33.62	-18.16	-33.02	Temporal	fusiform	none	7Networks_5	17Networks_9	190	393	190	#00FFFF
551	R	43.43	-22.95	-23.15	Temporal	inferiortemporal	none	7Networks_5	17Networks_9	191	394	191	#00FFFF
552	R	48.38	-39.54	-20.62	Temporal	inferiortemporal	Cingulo-opercular	7Networks_3	17Networks_5	57	115	57	#FF0000
553	R	38.07	-41.22	-20.57	Temporal	fusiform	Somatomotor	7Networks_5	17Networks_9	295	585	295	#FF00CC
554	R	34.46	-24.52	-27.46	Temporal	fusiform	none	7Networks_5	17Networks_9	192	395	192	#00FFFF
555	R	34.07	-35.2	-17.99	Temporal	fusiform	none	7Networks_5	17Networks_9	193	396	193	#00FFFF
556	R	31.08	-30.43	-19.1	Temporal	fusiform	none	7Networks_5	17Networks_9	194	397	194	#00FFFF
557	R	26.61	-53.95	-4.17	Occipital	fusiform	Second-Visual	7Networks_1	17Networks_1	246	501	246	#CC00FF
558	R	18.57	-105.13	4.65	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	93	203	93	#99FF00
559	R	12.52	-85.72	6.9	Occipital	pericalcarine	First-Visual-V1+	7Networks_1	17Networks_1	94	204	94	#99FF00
560	R	9.65	-74.6	-1.64	Occipital	lingual	Second-Visual	7Networks_1	17Networks_2	247	502	247	#CC00FF
561	R	49.7	-58.26	-12.35	Temporal	inferiortemporal	Frontal-Parietal	7Networks_3	17Networks_12	147	309	147	#66FF00
562	R	26.55	-97.18	0.27	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	95	205	95	#99FF00
563	R	26.41	-99.63	7.79	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	96	206	96	#99FF00
564	R	39.57	-66.13	-3.61	Occipital	inferiortemporal	Second-Visual	7Networks_3	17Networks_5	248	503	248	#CC00FF
565	R	29.1	-97.76	-7.67	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	97	207	97	#99FF00
566	R	28.08	-90.17	-8.48	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	98	208	98	#99FF00
567	R	13.6	-88.78	-5.62	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	99	209	99	#99FF00
568	R	31.1	-80.5	-12.83	Occipital	fusiform	Second-Visual	7Networks_1	17Networks_1	249	504	249	#CC00FF
569	R	31.77	-70.36	-14.14	Occipital	fusiform	Second-Visual	7Networks_1	17Networks_1	250	505	250	#CC00FF
570	R	25.33	-76.85	-7.53	Occipital	fusiform	Second-Visual	7Networks_1	17Networks_1	251	506	251	#CC00FF
571	R	21.19	-65.5	-1.56	Occipital	lingual	Somatomotor	7Networks_1	17Networks_1	296	586	296	#FF00CC
572	R	5.75	-81.17	23.61	Occipital	cuneus	Second-Visual	7Networks_1	17Networks_2	252	507	252	#CC00FF
573	R	4.55	-68.42	27	Parietal	cuneus	Parieto-Occipital	7Networks_1	17Networks_2	211	427	211	#0066FF
574	R	17.27	-63.85	16.92	Occipital	precuneus	Second-Visual	7Networks_1	17Networks_2	253	508	253	#CC00FF
575	R	18.34	-69.19	26.25	Parietal	precuneus	Second-Visual	7Networks_1	17Networks_2	254	509	254	#CC00FF
576	R	13.14	-58.11	22.24	Parietal	precuneus	Parieto-Occipital	7Networks_7	17Networks_16	212	428	212	#0066FF
577	R	22.18	-33.6	-16.45	Temporal	parahippocampal	none	7Networks_5	17Networks_15	195	398	195	#00FFFF
578	R	19.78	-20.16	-18.73	Temporal	parahippocampal	none	7Networks_5	17Networks_15	196	399	196	#00FFFF
579	R	15.82	-31.11	-11.21	None	parahippocampal	none	7Networks_1	17Networks_15	197	400	197	#00FFFF
580	R	28.91	-17.16	-19.52	Temporal	???	none	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	198	401	198	#00FFFF
581	R	30.44	-24.19	-15.68	Temporal	???	none	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	199	402	199	#00FFFF
582	R	27.62	-31.12	-10.48	Temporal	???	none	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	200	403	200	#00FFFF
583	R	9.11	24.68	57.4	Frontal	superiorfrontal	Ventral-Attention-Language	7Networks_7	17Networks_17	312	629	312	#FF0033
584	R	10.94	36.44	50.02	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_16	148	310	148	#66FF00
585	R	16.38	45.07	37.71	Frontal	rostralmiddlefrontal	Ventral-Attention-Language	7Networks_7	17Networks_17	313	630	313	#FF0033
586	R	27.3	40.4	28.59	Frontal	rostralmiddlefrontal	Cingulo-opercular	7Networks_4	17Networks_8	58	116	58	#FF0000
587	R	18.74	60.13	-1.19	Frontal	frontalpole	Frontal-Parietal	7Networks_5	17Networks_10	149	311	149	#66FF00
588	R	4.38	45.04	0.5	Frontal	medialorbitofrontal	Salience	7Networks_7	17Networks_16	218	439	218	#3300FF
589	R	27.65	53.75	10.39	Frontal	rostralmiddlefrontal	Frontal-Parietal-Other	7Networks_6	17Networks_13	164	330	164	#00FF66
590	R	11.2	60.23	6.19	Frontal	superiorfrontal	Ventral-Attention-Language	7Networks_7	17Networks_10	314	631	314	#FF0033
591	R	12.63	43.68	3.09	Frontal	medialorbitofrontal	Salience	7Networks_7	17Networks_16	219	440	219	#3300FF
592	R	22.04	56.91	18.05	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_7	17Networks_13	150	312	150	#66FF00
593	R	7.65	53.42	12.51	Frontal	superiorfrontal	Default	7Networks_7	17Networks_16	80	170	80	#FF6600
594	R	6.3	43.43	7.98	Frontal	superiorfrontal	Default	7Networks_7	17Networks_16	81	171	81	#FF6600
595	R	13.58	58.73	19.05	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_16	151	313	151	#66FF00
596	R	13.63	38.02	12.47	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_16	152	314	152	#66FF00
597	R	7.15	43.8	16.32	Frontal	superiorfrontal	Frontal-Parietal-Other	7Networks_7	17Networks_16	165	331	165	#00FF66
598	R	12.41	53.3	27.77	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_17	153	315	153	#66FF00
599	R	4.95	48.63	25.93	Frontal	superiorfrontal	Default	7Networks_7	17Networks_16	82	172	82	#FF6600
600	R	5.18	45.86	39.91	Frontal	superiorfrontal	Ventral-Attention-Language	7Networks_7	17Networks_17	315	632	315	#FF0033
601	R	6.69	33.65	33.57	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_16	154	316	154	#66FF00
602	R	20.05	32.52	38.13	Frontal	superiorfrontal	Frontal-Parietal-Other	7Networks_7	17Networks_16	166	332	166	#00FF66
603	R	21.23	32.31	49.92	Frontal	superiorfrontal	Default	7Networks_7	17Networks_16	83	173	83	#FF6600
604	R	15.83	24.67	51.24	Frontal	superiorfrontal	Default	7Networks_7	17Networks_16	84	174	84	#FF6600
605	R	25.29	25.86	42.6	Frontal	rostralmiddlefrontal	Frontal-Parietal-Other	7Networks_6	17Networks_8	167	333	167	#00FF66
606	R	29.99	15.87	51.88	Frontal	caudalmiddlefrontal	Frontal-Parietal	7Networks_7	17Networks_16	155	317	155	#66FF00
607	R	33.23	23.17	45.25	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_8	156	318	156	#66FF00
608	R	30.7	16.23	37.8	Frontal	caudalmiddlefrontal	Frontal-Parietal-Other	7Networks_6	17Networks_13	168	334	168	#00FF66
609	R	36.14	12.7	-18.76	Insula	superiortemporal	Cingulo-opercular	7Networks_5	17Networks_9	59	117	59	#FF0000
610	R	38.35	-22.62	5.4	Temporal	transversetemporal	Cingulo-opercular	7Networks_2	17Networks_4	60	118	60	#FF0000
611	R	44.22	-13.1	-2.23	Temporal	superiortemporal	Cingulo-opercular	7Networks_2	17Networks_4	61	119	61	#FF0000
612	R	49.27	6.81	-7.86	Temporal	superiortemporal	Cingulo-opercular	7Networks_4	17Networks_4	62	120	62	#FF0000
613	R	54.59	-8.34	3.45	Temporal	superiortemporal	Cingulo-opercular	7Networks_2	17Networks_4	63	121	63	#FF0000
614	R	42.91	8.65	-21.88	Temporal	superiortemporal	Ventral-Attention-Language	7Networks_7	17Networks_14	316	633	316	#FF0033
615	R	52.38	2.19	-10.5	Temporal	superiortemporal	Cingulo-opercular	7Networks_7	17Networks_14	64	122	64	#FF0000
616	R	53.95	-10.88	-5.27	Temporal	superiortemporal	Ventral-Attention-Language	7Networks_2	17Networks_14	317	634	317	#FF0033
617	R	45.42	-3.95	-14.73	Temporal	superiortemporal	Default	7Networks_7	17Networks_17	85	175	85	#FF6600
618	R	49.51	-13.25	-13.82	Temporal	middletemporal	Default	7Networks_7	17Networks_16	86	176	86	#FF6600
619	R	58.42	-4.91	-18.66	Temporal	middletemporal	Frontal-Parietal	7Networks_7	17Networks_16	157	319	157	#66FF00
620	R	61.34	-16.96	-8.15	Temporal	middletemporal	Default	7Networks_7	17Networks_16	87	177	87	#FF6600
621	L	-11.67	-17.2	5.62	subcortical	Left-Thalamus-Proper	subcortical	na	na	344	587	608	#FF0066
622	L	-14.36	10.19	8.91	subcortical	Left-Caudate	subcortical	na	na	343	588	609	#FF0066
623	L	-26.47	0.75	-1.65	subcortical	Left-Putamen	subcortical	na	na	342	589	610	#FF0066
624	L	-19.98	-2.33	-3.54	subcortical	Left-Pallidum	subcortical	na	na	341	590	611	#FF0066
625	L	-24.29	-22.06	-14.01	subcortical	Left-Hippocampus	subcortical	na	na	340	591	612	#FF0066
626	L	-23.55	-4.17	-20.13	subcortical	Left-Amygdala	subcortical	na	na	339	592	613	#FF0066
627	L	-8.81	10.9	-9.43	subcortical	Left-Accumbens-area	subcortical	na	na	338	593	614	#FF0066
628	R	9.8	-15.81	5.97	subcortical	Right-Thalamus-Proper	subcortical	na	na	297	594	297	#FF0066
629	R	12.47	11.94	8.07	subcortical	Right-Caudate	subcortical	na	na	298	595	298	#FF0066
630	R	24.45	3.52	-2.15	subcortical	Right-Putamen	subcortical	na	na	299	596	299	#FF0066
631	R	18.72	-1.42	-2.53	subcortical	Right-Pallidum	subcortical	na	na	300	597	300	#FF0066
632	R	23.58	-20.65	-14.87	subcortical	Right-Hippocampus	subcortical	na	na	301	598	301	#FF0066
633	R	20.56	-3.82	-20.57	subcortical	Right-Amygdala	subcortical	na	na	302	599	302	#FF0066
634	R	6.76	12.04	-8.82	subcortical	Right-Accumbens-area	subcortical	na	na	303	600	303	#FF0066
